Age,City,Economic Status,Profession,Most Used Pokemon Type,Average Pokemon Level,PokéBall Usage,Win Ratio,Battle Strategy,Number of Migrations,Rare Item Holder,Team Rocket
67,Pallet Town,Middle,Champion,Ground,60,TimerBall,20,Aggressive,18,FALSE,No
17,Fuchsia City,Middle,Police Officer,Ice,71,TimerBall,56,Unpredictable,23,FALSE,No
12,Saffron City,Middle,Casino Worker,Ghost,42,HealBall,46,Defensive,5,FALSE,No
64,Celadon City,Low,Black Market Dealer,Ice,63,LuxuryBall,56,Unpredictable,8,FALSE,No
55,Pallet Town,Low,Elite Trainer,Ice,29,DarkBall,69,Aggressive,9,FALSE,No
37,Pewter City,Middle,Scientist,Fairy,66,TimerBall,37,Defensive,1,FALSE,No
70,Viridian City,Low,Researcher,Normal,100,DarkBall,59,Aggressive,15,FALSE,Yes
47,Pewter City,High,Nurse,Dark,73,NetBall,51,Aggressive,7,FALSE,No
59,Pewter City,Middle,Scientist,Electric,68,LuxuryBall,66,Unpredictable,6,FALSE,No
55,Saffron City,Middle,Fisherman,Fire,62,DuskBall,51,Unpredictable,22,FALSE,No
42,Celadon City,Low,Researcher,Fairy,32,DarkBall,43,Unpredictable,8,FALSE,No
38,Pallet Town,Low,Gym Leader Assistant,Water,54,GreatBall,78,Unpredictable,16,TRUE,Yes
69,Lavender Town,Low,Champion,Poison,12,UltraBall,67,Unpredictable,22,FALSE,No
55,Pewter City,Middle,Casino Worker,Flying,61,NetBall,40,Unpredictable,7,FALSE,Yes
64,Pallet Town,Middle,Elite Trainer,Electric,16,TimerBall,52,Unpredictable,11,FALSE,No
18,Celadon City,Middle,Gym Leader Assistant,Fire,25,PokéBall,81,Unpredictable,21,FALSE,No
23,Viridian City,Middle,Breeder,Ice,69,HealBall,37,Aggressive,16,FALSE,Yes
22,Celadon City,Middle,PokéMart Seller,Water,73,DarkBall,26,Aggressive,18,FALSE,No
44,Saffron City,Middle,Elite Trainer,Normal,83,DuskBall,48,Aggressive,12,FALSE,No
63,Pallet Town,Middle,Casino Worker,Normal,27,PokéBall,26,Defensive,7,FALSE,No
47,Vermilion City,Middle,Biker,Grass,71,NetBall,32,Aggressive,15,FALSE,No
10,Vermilion City,Low,Rocket Grunt,Water,47,HealBall,74,Aggressive,29,TRUE,Yes
64,Celadon City,Low,Scientist,Normal,14,DuskBall,61,Aggressive,19,FALSE,No
19,Pewter City,Middle,Biker,Rock,61,DuskBall,57,Unpredictable,21,FALSE,No
17,Lavender Town,High,Researcher,Ghost,55,DarkBall,20,Aggressive,9,FALSE,No
12,Viridian City,High,Scientist,Fighting,30,HealBall,34,Unpredictable,18,TRUE,Yes
34,Lavender Town,Middle,Rocket Grunt,Grass,49,PokéBall,41,Aggressive,11,FALSE,No
47,Cerulean City,Middle,Gym Leader Assistant,Psychic,48,LuxuryBall,68,Aggressive,5,FALSE,No
60,Fuchsia City,Middle,Casino Worker,Water,5,GreatBall,58,Aggressive,25,FALSE,No
52,Pewter City,Low,Casino Worker,Grass,45,PokéBall,55,Aggressive,15,TRUE,Yes
39,Vermilion City,High,PokéMart Seller,Flying,71,LuxuryBall,40,Aggressive,24,FALSE,No
61,Viridian City,High,Researcher,Poison,25,PokéBall,71,Unpredictable,15,FALSE,No
21,Pewter City,Middle,Casino Worker,Ground,29,TimerBall,83,Defensive,22,FALSE,No
52,Pallet Town,Low,Biker,Psychic,22,PokéBall,80,Unpredictable,7,TRUE,Yes
54,Viridian City,Middle,Black Market Dealer,Water,22,UltraBall,42,Defensive,22,FALSE,No
13,Celadon City,Low,Casino Worker,Rock,92,DarkBall,56,Defensive,12,FALSE,No
54,Viridian City,High,Fisherman,Electric,69,MasterBall,24,Defensive,22,FALSE,No
23,Celadon City,Low,Nurse,Dragon,78,PokéBall,85,Defensive,7,FALSE,No
14,Cerulean City,Middle,Gym Leader Assistant,Fairy,33,MasterBall,78,Defensive,25,FALSE,No
52,Fuchsia City,Low,Rocket Grunt,Ice,98,PokéBall,27,Aggressive,17,FALSE,No
43,Vermilion City,High,PokéMart Seller,Dragon,5,DarkBall,21,Aggressive,8,FALSE,No
30,Vermilion City,Low,Black Market Dealer,Ghost,38,PokéBall,73,Unpredictable,14,FALSE,No
37,Vermilion City,High,PokéMart Seller,Grass,92,NetBall,30,Unpredictable,3,FALSE,No
53,Lavender Town,Low,Black Market Dealer,Fairy,9,HealBall,54,Aggressive,15,TRUE,Yes
66,Vermilion City,Middle,Casino Worker,Dark,10,HealBall,21,Aggressive,24,FALSE,No
24,Pewter City,High,Biker,Bug,7,UltraBall,66,Defensive,6,FALSE,No
65,Celadon City,Middle,Casino Worker,Flying,25,GreatBall,77,Defensive,15,FALSE,No
15,Pewter City,Middle,Rocket Grunt,Poison,13,HealBall,59,Aggressive,28,FALSE,Yes
51,Vermilion City,Middle,Underground Battler,Psychic,77,LuxuryBall,51,Aggressive,29,FALSE,Yes
13,Pewter City,Middle,Nurse,Steel,25,TimerBall,79,Defensive,20,FALSE,No
50,Lavender Town,Middle,Gym Leader Assistant,Psychic,6,HealBall,22,Unpredictable,22,FALSE,No
21,Celadon City,Low,Fisherman,Fairy,40,UltraBall,64,Defensive,10,TRUE,Yes
18,Celadon City,Low,Researcher,Bug,33,TimerBall,85,Defensive,17,FALSE,No
20,Lavender Town,Middle,Breeder,Fairy,24,TimerBall,39,Defensive,4,FALSE,No
13,Viridian City,High,Breeder,Fire,42,UltraBall,54,Aggressive,12,TRUE,Yes
51,Pewter City,Middle,Scientist,Psychic,38,NetBall,66,Unpredictable,22,FALSE,Yes
67,Vermilion City,Middle,Police Officer,Water,84,UltraBall,49,Unpredictable,3,FALSE,No
24,Cerulean City,High,Scientist,Fairy,57,UltraBall,79,Defensive,20,FALSE,No
61,Pewter City,Middle,Champion,Flying,61,HealBall,84,Defensive,3,FALSE,No
38,Vermilion City,Middle,Rocket Grunt,Steel,21,NetBall,81,Defensive,10,TRUE,Yes
26,Fuchsia City,Middle,Rocket Grunt,Fire,90,GreatBall,81,Unpredictable,9,FALSE,No
44,Viridian City,High,Elite Trainer,Electric,39,HealBall,74,Aggressive,6,FALSE,No
21,Celadon City,Low,Daycare Worker,Electric,72,UltraBall,84,Aggressive,8,FALSE,No
47,Fuchsia City,Middle,Daycare Worker,Grass,34,UltraBall,43,Unpredictable,10,FALSE,No
50,Cinnabar Island,Low,Scientist,Water,45,NetBall,67,Defensive,13,FALSE,Yes
58,Cerulean City,Middle,Researcher,Psychic,58,UltraBall,66,Unpredictable,25,FALSE,No
26,Cerulean City,Middle,Fisherman,Dragon,66,DarkBall,49,Defensive,11,FALSE,No
69,Viridian City,Middle,Elite Trainer,Ghost,12,MasterBall,50,Defensive,6,FALSE,No
17,Saffron City,Middle,Fisherman,Electric,51,LuxuryBall,46,Aggressive,3,FALSE,No
35,Pewter City,Middle,Elite Trainer,Ground,46,NetBall,39,Aggressive,28,FALSE,Yes
69,Viridian City,Middle,PokéMart Seller,Poison,26,HealBall,29,Aggressive,9,FALSE,No
55,Cerulean City,Middle,Daycare Worker,Dragon,19,DarkBall,38,Defensive,6,FALSE,No
16,Fuchsia City,Middle,Scientist,Bug,56,HealBall,22,Unpredictable,12,FALSE,No
60,Cerulean City,Middle,Biker,Steel,16,TimerBall,75,Aggressive,9,FALSE,No
67,Viridian City,Low,Gym Leader Assistant,Bug,14,DarkBall,54,Defensive,5,FALSE,Yes
31,Viridian City,Middle,Casino Worker,Steel,56,DarkBall,30,Unpredictable,21,FALSE,No
61,Lavender Town,Low,Rocket Grunt,Rock,86,LuxuryBall,79,Defensive,17,FALSE,No
49,Pewter City,Middle,Daycare Worker,Bug,55,HealBall,23,Defensive,23,FALSE,No
54,Pallet Town,Middle,Casino Worker,Dragon,82,GreatBall,80,Aggressive,0,FALSE,No
27,Pallet Town,Middle,Daycare Worker,Rock,42,DarkBall,56,Defensive,6,FALSE,No
63,Viridian City,Low,Breeder,Poison,95,HealBall,62,Unpredictable,14,FALSE,No
49,Viridian City,High,Biker,Fighting,92,LuxuryBall,38,Aggressive,3,FALSE,No
38,Cinnabar Island,Low,PokéMart Seller,Ice,5,GreatBall,60,Aggressive,2,FALSE,No
43,Cinnabar Island,Middle,Elite Trainer,Poison,10,UltraBall,27,Aggressive,23,FALSE,No
46,Lavender Town,Middle,Champion,Grass,64,NetBall,66,Defensive,5,FALSE,No
20,Pallet Town,Middle,Breeder,Rock,77,MasterBall,62,Unpredictable,8,FALSE,No
25,Celadon City,Middle,Underground Battler,Electric,37,GreatBall,41,Aggressive,21,FALSE,No
54,Fuchsia City,Low,Breeder,Fairy,9,MasterBall,51,Defensive,16,FALSE,No
41,Celadon City,Low,Rocket Grunt,Water,60,PokéBall,63,Unpredictable,22,FALSE,No
67,Cerulean City,Middle,Researcher,Fire,39,MasterBall,73,Aggressive,19,FALSE,No
28,Fuchsia City,High,Champion,Ground,28,TimerBall,30,Aggressive,21,FALSE,No
49,Viridian City,Middle,Scientist,Electric,48,GreatBall,49,Aggressive,4,FALSE,No
51,Saffron City,High,Black Market Dealer,Dark,11,HealBall,49,Unpredictable,17,FALSE,No
16,Celadon City,Low,Elite Trainer,Poison,77,LuxuryBall,27,Defensive,19,FALSE,No
11,Pallet Town,High,Biker,Poison,28,UltraBall,68,Unpredictable,19,FALSE,Yes
18,Pewter City,Middle,Fisherman,Ice,23,HealBall,35,Defensive,17,TRUE,Yes
39,Pallet Town,High,Daycare Worker,Ice,20,DuskBall,60,Unpredictable,21,FALSE,No
55,Pewter City,Middle,PokéMart Seller,Dragon,97,DuskBall,23,Defensive,11,FALSE,No
38,Celadon City,Middle,Researcher,Water,21,HealBall,62,Unpredictable,15,FALSE,Yes
41,Celadon City,High,Scientist,Water,96,PokéBall,25,Defensive,13,FALSE,No
68,Viridian City,Low,Breeder,Normal,24,MasterBall,53,Aggressive,5,FALSE,No
44,Pallet Town,High,Gym Leader Assistant,Psychic,31,PokéBall,46,Aggressive,28,FALSE,Yes
55,Vermilion City,Low,PokéMart Seller,Fairy,77,HealBall,55,Unpredictable,12,FALSE,No
33,Pallet Town,Middle,Black Market Dealer,Dark,67,PokéBall,24,Aggressive,6,FALSE,No
22,Celadon City,Middle,Daycare Worker,Grass,89,PokéBall,47,Aggressive,6,FALSE,Yes
52,Saffron City,Middle,Nurse,Flying,84,LuxuryBall,61,Unpredictable,22,FALSE,No
36,Pewter City,Middle,Rocket Grunt,Ghost,45,UltraBall,78,Defensive,16,FALSE,No
63,Vermilion City,Low,Rocket Grunt,Dragon,11,GreatBall,30,Unpredictable,4,FALSE,No
21,Saffron City,Low,Underground Battler,Ice,43,GreatBall,70,Unpredictable,7,FALSE,No
44,Saffron City,Low,Champion,Electric,28,NetBall,82,Aggressive,14,FALSE,No
70,Pallet Town,Middle,Daycare Worker,Fighting,54,LuxuryBall,76,Aggressive,25,FALSE,No
42,Vermilion City,Middle,Elite Trainer,Fighting,80,DarkBall,59,Defensive,6,FALSE,No
69,Lavender Town,Low,Biker,Grass,18,NetBall,62,Defensive,13,FALSE,No
28,Lavender Town,Low,Daycare Worker,Grass,41,UltraBall,69,Aggressive,5,FALSE,No
37,Fuchsia City,Middle,Police Officer,Water,16,DuskBall,31,Aggressive,17,FALSE,No
26,Viridian City,Low,Police Officer,Grass,71,DuskBall,78,Aggressive,22,FALSE,No
49,Vermilion City,Low,Champion,Poison,39,DuskBall,25,Unpredictable,24,FALSE,No
70,Fuchsia City,Low,Biker,Fairy,68,MasterBall,31,Defensive,15,FALSE,No
35,Fuchsia City,Middle,Breeder,Electric,56,NetBall,31,Unpredictable,9,FALSE,Yes
47,Cinnabar Island,High,Scientist,Steel,9,TimerBall,28,Unpredictable,12,FALSE,No
13,Cinnabar Island,Middle,Researcher,Ground,81,DuskBall,78,Defensive,0,FALSE,No
25,Vermilion City,Low,Gym Leader Assistant,Rock,57,MasterBall,70,Unpredictable,4,FALSE,No
54,Celadon City,High,Rocket Grunt,Fire,7,HealBall,33,Unpredictable,19,FALSE,No
20,Viridian City,Low,Elite Trainer,Normal,71,PokéBall,76,Aggressive,9,FALSE,No
17,Pallet Town,Low,Nurse,Fairy,63,GreatBall,55,Unpredictable,12,FALSE,No
35,Lavender Town,Middle,Daycare Worker,Flying,90,TimerBall,24,Aggressive,3,FALSE,No
69,Fuchsia City,High,Rocket Grunt,Fire,9,HealBall,24,Defensive,9,FALSE,No
35,Pallet Town,Low,Gym Leader Assistant,Electric,83,GreatBall,47,Unpredictable,24,FALSE,No
61,Pewter City,Low,Scientist,Dark,7,PokéBall,30,Defensive,1,FALSE,No
63,Saffron City,Low,Champion,Ice,96,GreatBall,49,Unpredictable,6,FALSE,No
19,Viridian City,Low,Police Officer,Psychic,62,NetBall,35,Unpredictable,14,FALSE,Yes
51,Pewter City,Low,Casino Worker,Water,39,LuxuryBall,70,Unpredictable,24,FALSE,No
26,Viridian City,Low,Researcher,Ghost,6,UltraBall,29,Defensive,10,FALSE,No
59,Saffron City,Low,Underground Battler,Ice,93,DuskBall,44,Unpredictable,11,FALSE,No
44,Celadon City,Middle,Scientist,Flying,51,MasterBall,57,Aggressive,17,FALSE,Yes
58,Fuchsia City,High,Casino Worker,Ghost,17,UltraBall,39,Aggressive,14,FALSE,No
70,Vermilion City,Low,Casino Worker,Bug,49,HealBall,24,Unpredictable,22,FALSE,No
10,Vermilion City,Low,Nurse,Flying,7,PokéBall,74,Unpredictable,10,FALSE,No
37,Cerulean City,Low,Rocket Grunt,Fairy,83,GreatBall,52,Defensive,21,FALSE,No
24,Saffron City,Low,Biker,Dark,83,TimerBall,31,Unpredictable,0,FALSE,No
15,Cerulean City,Low,Gym Leader Assistant,Dark,88,MasterBall,64,Unpredictable,21,FALSE,No
10,Saffron City,Middle,Champion,Fire,52,PokéBall,27,Defensive,18,FALSE,No
23,Fuchsia City,Middle,Breeder,Normal,14,NetBall,21,Defensive,8,FALSE,No
69,Celadon City,Middle,Casino Worker,Ground,75,UltraBall,66,Unpredictable,16,FALSE,No
36,Saffron City,Low,Black Market Dealer,Normal,46,HealBall,37,Defensive,24,TRUE,Yes
39,Saffron City,Low,Elite Trainer,Normal,75,UltraBall,71,Aggressive,1,FALSE,No
45,Vermilion City,Low,Nurse,Electric,11,TimerBall,72,Defensive,6,FALSE,No
35,Vermilion City,Middle,Daycare Worker,Fire,49,UltraBall,65,Defensive,2,FALSE,No
24,Celadon City,Low,Gym Leader Assistant,Grass,23,MasterBall,48,Defensive,5,FALSE,No
50,Pallet Town,Middle,Nurse,Poison,20,TimerBall,85,Aggressive,14,FALSE,No
32,Vermilion City,Low,Breeder,Poison,93,UltraBall,76,Unpredictable,3,FALSE,No
47,Pallet Town,Middle,Researcher,Electric,77,NetBall,26,Defensive,13,FALSE,No
44,Cinnabar Island,High,Black Market Dealer,Poison,20,NetBall,34,Defensive,16,FALSE,No
48,Viridian City,Middle,Police Officer,Ghost,27,DuskBall,37,Aggressive,17,FALSE,No
31,Celadon City,High,Gym Leader Assistant,Flying,68,UltraBall,83,Aggressive,15,TRUE,Yes
44,Cerulean City,Middle,Gym Leader Assistant,Poison,10,LuxuryBall,27,Aggressive,19,FALSE,No
32,Celadon City,Low,Researcher,Steel,54,NetBall,76,Aggressive,22,FALSE,Yes
39,Celadon City,Low,Gym Leader Assistant,Rock,83,NetBall,75,Unpredictable,13,FALSE,No
68,Viridian City,Low,Black Market Dealer,Normal,77,HealBall,26,Unpredictable,19,FALSE,No
33,Cerulean City,High,Underground Battler,Normal,88,NetBall,70,Unpredictable,9,TRUE,Yes
34,Pewter City,Low,Casino Worker,Ice,97,PokéBall,72,Aggressive,11,TRUE,Yes
43,Pallet Town,Low,Casino Worker,Dragon,60,NetBall,71,Unpredictable,7,FALSE,No
49,Cinnabar Island,Middle,Researcher,Grass,37,PokéBall,83,Aggressive,24,FALSE,No
24,Celadon City,Middle,Black Market Dealer,Water,29,HealBall,51,Aggressive,9,FALSE,No
35,Pallet Town,Low,PokéMart Seller,Psychic,77,PokéBall,34,Defensive,13,FALSE,No
70,Vermilion City,Middle,Biker,Poison,81,UltraBall,55,Unpredictable,6,FALSE,No
48,Viridian City,Middle,Breeder,Ice,54,MasterBall,36,Defensive,9,FALSE,No
49,Pewter City,Middle,Nurse,Fire,21,HealBall,37,Aggressive,16,TRUE,Yes
11,Pewter City,Middle,Black Market Dealer,Dragon,92,TimerBall,20,Unpredictable,23,FALSE,No
53,Vermilion City,Middle,Casino Worker,Water,92,GreatBall,71,Unpredictable,1,FALSE,No
65,Celadon City,Low,Scientist,Normal,66,DarkBall,54,Defensive,3,FALSE,Yes
54,Viridian City,Low,PokéMart Seller,Grass,77,HealBall,85,Aggressive,2,FALSE,No
30,Celadon City,Low,Daycare Worker,Normal,63,DarkBall,65,Defensive,22,FALSE,No
43,Cinnabar Island,Low,Fisherman,Rock,89,PokéBall,54,Defensive,6,FALSE,No
16,Viridian City,Low,Breeder,Psychic,19,NetBall,52,Unpredictable,11,FALSE,No
18,Cerulean City,High,Champion,Normal,91,DarkBall,69,Defensive,25,FALSE,No
17,Pallet Town,Low,Breeder,Electric,58,DarkBall,55,Aggressive,4,TRUE,Yes
67,Cinnabar Island,Low,Nurse,Fire,92,HealBall,64,Aggressive,30,FALSE,Yes
13,Fuchsia City,Low,Daycare Worker,Flying,14,LuxuryBall,81,Unpredictable,15,FALSE,No
52,Fuchsia City,High,Biker,Steel,58,NetBall,85,Aggressive,3,FALSE,No
46,Vermilion City,Low,Daycare Worker,Grass,8,DuskBall,55,Aggressive,15,FALSE,No
50,Saffron City,High,PokéMart Seller,Fire,42,LuxuryBall,76,Unpredictable,4,FALSE,No
13,Lavender Town,Middle,Elite Trainer,Grass,19,HealBall,59,Unpredictable,1,FALSE,No
24,Cerulean City,Low,Biker,Ghost,26,GreatBall,54,Defensive,24,FALSE,No
50,Celadon City,Middle,Police Officer,Dark,27,GreatBall,33,Aggressive,14,FALSE,Yes
19,Fuchsia City,High,Researcher,Rock,57,GreatBall,31,Defensive,19,FALSE,No
44,Celadon City,Low,Police Officer,Psychic,58,MasterBall,85,Defensive,24,FALSE,Yes
52,Cerulean City,Low,Breeder,Fairy,21,PokéBall,67,Aggressive,2,FALSE,No
44,Vermilion City,Middle,Underground Battler,Ground,81,TimerBall,27,Unpredictable,16,FALSE,No
33,Saffron City,Low,Underground Battler,Water,80,DuskBall,35,Defensive,17,FALSE,No
54,Saffron City,Middle,Nurse,Psychic,21,UltraBall,39,Aggressive,20,FALSE,No
12,Saffron City,Low,Rocket Grunt,Grass,33,NetBall,49,Unpredictable,25,FALSE,No
20,Fuchsia City,Middle,Breeder,Steel,35,TimerBall,26,Aggressive,23,FALSE,No
30,Lavender Town,Low,Biker,Poison,73,GreatBall,67,Unpredictable,10,FALSE,No
38,Fuchsia City,Middle,Elite Trainer,Dark,68,UltraBall,57,Aggressive,20,FALSE,No
19,Saffron City,Low,Daycare Worker,Fire,27,GreatBall,79,Defensive,6,FALSE,No
47,Celadon City,Low,Black Market Dealer,Steel,71,DarkBall,63,Defensive,3,FALSE,No
52,Celadon City,Low,Black Market Dealer,Electric,37,TimerBall,49,Defensive,25,FALSE,No
18,Celadon City,Middle,Daycare Worker,Poison,12,MasterBall,36,Aggressive,20,FALSE,No
37,Saffron City,Low,Breeder,Dark,50,NetBall,53,Defensive,8,FALSE,No
67,Cinnabar Island,Low,Elite Trainer,Electric,15,NetBall,42,Defensive,10,FALSE,Yes
59,Pallet Town,High,Casino Worker,Fire,11,TimerBall,54,Unpredictable,25,FALSE,No
21,Celadon City,Middle,Biker,Ground,79,PokéBall,30,Aggressive,20,FALSE,No
11,Saffron City,Middle,Rocket Grunt,Water,100,UltraBall,50,Defensive,20,FALSE,No
70,Pallet Town,Middle,PokéMart Seller,Dragon,30,HealBall,59,Aggressive,22,TRUE,Yes
56,Saffron City,Middle,Scientist,Dragon,18,DuskBall,25,Defensive,12,FALSE,No
60,Cinnabar Island,Low,Police Officer,Flying,21,LuxuryBall,67,Aggressive,25,FALSE,No
62,Cerulean City,Middle,Gym Leader Assistant,Electric,56,DuskBall,59,Defensive,25,FALSE,No
26,Viridian City,High,Underground Battler,Fighting,74,MasterBall,50,Unpredictable,22,FALSE,No
15,Cerulean City,Middle,Scientist,Psychic,87,UltraBall,79,Defensive,7,FALSE,No
65,Celadon City,Low,Gym Leader Assistant,Psychic,94,HealBall,58,Defensive,24,FALSE,No
18,Saffron City,Middle,Nurse,Water,54,PokéBall,71,Defensive,8,FALSE,No
10,Saffron City,Low,Underground Battler,Fire,59,GreatBall,35,Unpredictable,21,FALSE,No
60,Cinnabar Island,Low,Researcher,Psychic,12,MasterBall,63,Defensive,9,FALSE,No
67,Pallet Town,Middle,Fisherman,Fairy,71,GreatBall,71,Aggressive,3,FALSE,No
30,Saffron City,High,Champion,Fire,45,PokéBall,36,Defensive,11,FALSE,No
45,Vermilion City,Low,Underground Battler,Ground,75,DuskBall,28,Aggressive,24,FALSE,No
60,Cinnabar Island,Low,Scientist,Electric,23,MasterBall,21,Aggressive,7,FALSE,No
45,Pallet Town,Middle,Champion,Flying,43,MasterBall,70,Unpredictable,24,FALSE,No
39,Cerulean City,Low,Researcher,Electric,11,DarkBall,60,Defensive,16,FALSE,No
24,Viridian City,High,PokéMart Seller,Psychic,30,UltraBall,60,Unpredictable,18,FALSE,No
16,Fuchsia City,Middle,Daycare Worker,Dragon,52,PokéBall,27,Aggressive,24,FALSE,No
66,Pallet Town,Middle,PokéMart Seller,Fire,77,DuskBall,44,Unpredictable,19,FALSE,No
55,Fuchsia City,High,Researcher,Fighting,95,UltraBall,80,Aggressive,3,FALSE,No
19,Lavender Town,Low,Police Officer,Fighting,49,DuskBall,43,Defensive,8,FALSE,No
15,Cerulean City,Middle,Champion,Steel,98,NetBall,76,Aggressive,15,FALSE,No
49,Celadon City,Middle,Gym Leader Assistant,Ice,30,DarkBall,71,Defensive,27,FALSE,Yes
28,Saffron City,Low,Casino Worker,Flying,20,GreatBall,49,Aggressive,0,FALSE,No
34,Cinnabar Island,Middle,PokéMart Seller,Ground,26,UltraBall,81,Defensive,20,FALSE,No
15,Celadon City,Middle,Gym Leader Assistant,Bug,80,MasterBall,66,Unpredictable,7,FALSE,No
51,Vermilion City,Middle,Fisherman,Steel,23,MasterBall,36,Aggressive,9,FALSE,No
28,Fuchsia City,Middle,Nurse,Dragon,53,UltraBall,36,Aggressive,17,FALSE,No
16,Cinnabar Island,Low,Gym Leader Assistant,Fairy,84,HealBall,70,Unpredictable,15,FALSE,No
59,Fuchsia City,Low,PokéMart Seller,Fighting,6,DuskBall,37,Defensive,17,FALSE,No
37,Cerulean City,Middle,Daycare Worker,Rock,47,NetBall,56,Defensive,14,FALSE,Yes
37,Viridian City,High,Nurse,Water,35,HealBall,59,Aggressive,25,TRUE,Yes
44,Viridian City,Middle,Biker,Dragon,53,PokéBall,51,Defensive,2,FALSE,No
44,Vermilion City,Middle,Nurse,Water,90,MasterBall,42,Unpredictable,3,FALSE,No
64,Vermilion City,Middle,Daycare Worker,Water,26,GreatBall,79,Unpredictable,25,FALSE,Yes
43,Saffron City,Low,Researcher,Fire,28,LuxuryBall,46,Aggressive,6,FALSE,No
20,Cerulean City,Middle,Fisherman,Normal,21,TimerBall,44,Aggressive,1,FALSE,No
57,Saffron City,Low,Daycare Worker,Ice,19,GreatBall,56,Unpredictable,20,FALSE,No
56,Celadon City,Low,Biker,Water,90,UltraBall,84,Defensive,18,FALSE,No
68,Lavender Town,Low,PokéMart Seller,Psychic,48,HealBall,48,Unpredictable,12,FALSE,No
65,Cerulean City,High,Champion,Water,67,LuxuryBall,25,Unpredictable,23,FALSE,No
19,Pallet Town,Low,Casino Worker,Dragon,15,NetBall,54,Aggressive,20,FALSE,No
41,Pallet Town,Middle,Elite Trainer,Bug,16,TimerBall,38,Unpredictable,13,FALSE,No
69,Lavender Town,Middle,Elite Trainer,Ground,67,HealBall,36,Unpredictable,1,FALSE,No
13,Pallet Town,Middle,Underground Battler,Fairy,77,NetBall,42,Aggressive,19,FALSE,No
15,Vermilion City,High,Elite Trainer,Steel,45,LuxuryBall,83,Defensive,6,FALSE,Yes
51,Celadon City,Middle,Casino Worker,Bug,77,NetBall,73,Unpredictable,26,FALSE,Yes
24,Lavender Town,Middle,Daycare Worker,Electric,17,TimerBall,37,Defensive,3,FALSE,No
69,Saffron City,Low,PokéMart Seller,Psychic,27,UltraBall,21,Defensive,20,FALSE,No
41,Lavender Town,Low,Champion,Steel,11,TimerBall,61,Aggressive,19,FALSE,No
15,Cerulean City,Middle,Researcher,Water,92,DuskBall,44,Defensive,17,FALSE,No
25,Cinnabar Island,Low,Casino Worker,Rock,61,PokéBall,27,Unpredictable,20,FALSE,No
21,Viridian City,Middle,Black Market Dealer,Ground,85,NetBall,55,Aggressive,16,FALSE,Yes
70,Saffron City,Low,Rocket Grunt,Fairy,96,TimerBall,41,Unpredictable,14,FALSE,No
67,Viridian City,Low,Nurse,Bug,58,DuskBall,81,Aggressive,21,FALSE,No
66,Cinnabar Island,Middle,Scientist,Fire,15,LuxuryBall,79,Unpredictable,16,FALSE,No
32,Cinnabar Island,Middle,Police Officer,Ghost,59,DuskBall,74,Unpredictable,5,FALSE,No
24,Pewter City,Low,PokéMart Seller,Normal,100,HealBall,44,Defensive,1,FALSE,No
55,Lavender Town,Middle,Police Officer,Fighting,6,HealBall,34,Aggressive,15,FALSE,No
25,Pallet Town,Middle,Elite Trainer,Dark,68,NetBall,64,Defensive,4,FALSE,No
61,Cinnabar Island,Middle,Champion,Steel,79,NetBall,71,Defensive,22,FALSE,No
20,Saffron City,Low,Black Market Dealer,Dark,31,HealBall,55,Defensive,13,FALSE,No
15,Lavender Town,Low,Nurse,Steel,20,TimerBall,70,Aggressive,19,FALSE,No
59,Lavender Town,Middle,Casino Worker,Ground,43,GreatBall,38,Defensive,17,FALSE,No
54,Pallet Town,Low,Nurse,Flying,73,NetBall,30,Aggressive,19,FALSE,No
35,Saffron City,High,PokéMart Seller,Psychic,99,HealBall,36,Aggressive,10,FALSE,Yes
13,Pewter City,High,Breeder,Steel,93,LuxuryBall,63,Unpredictable,8,FALSE,No
36,Viridian City,Low,Police Officer,Rock,41,PokéBall,67,Unpredictable,5,TRUE,Yes
51,Vermilion City,Middle,Fisherman,Fire,36,HealBall,32,Defensive,2,FALSE,No
60,Saffron City,Low,PokéMart Seller,Poison,27,NetBall,26,Defensive,11,FALSE,No
20,Celadon City,High,Rocket Grunt,Fire,80,MasterBall,80,Aggressive,3,FALSE,No
58,Saffron City,Middle,Scientist,Fairy,60,UltraBall,45,Aggressive,16,FALSE,No
44,Viridian City,Middle,Daycare Worker,Fighting,35,NetBall,68,Unpredictable,11,FALSE,No
25,Lavender Town,High,Fisherman,Fire,25,MasterBall,50,Aggressive,19,FALSE,No
18,Fuchsia City,Low,Black Market Dealer,Grass,65,DuskBall,44,Unpredictable,6,FALSE,No
10,Cerulean City,Low,Casino Worker,Fire,7,DarkBall,42,Aggressive,19,FALSE,No
58,Saffron City,Middle,Gym Leader Assistant,Electric,37,GreatBall,23,Unpredictable,14,FALSE,No
42,Fuchsia City,Low,Rocket Grunt,Electric,98,HealBall,84,Aggressive,8,FALSE,No
66,Viridian City,High,Biker,Fire,54,TimerBall,41,Aggressive,10,TRUE,Yes
49,Viridian City,Low,Casino Worker,Normal,51,PokéBall,23,Aggressive,23,FALSE,No
43,Pallet Town,Low,Biker,Dragon,30,LuxuryBall,76,Defensive,20,FALSE,No
48,Pallet Town,Middle,Scientist,Dark,37,MasterBall,22,Defensive,8,FALSE,No
24,Vermilion City,High,PokéMart Seller,Ground,28,DuskBall,67,Unpredictable,6,FALSE,No
65,Saffron City,High,Breeder,Fighting,13,LuxuryBall,78,Aggressive,10,FALSE,No
